Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1
SGL_RS00520	SGL_RS00520	103187	103417	hypothetical protein	SGL_RS00520	SGL_RS00520
slr0912	slr0912	2785941	2786717	hypothetical protein	slr0912	slr0912
sepF	slr2073	913296	913856	cell division protein SepF	sepF	slr2073
sll8027	sll8027	23434	23859	putative toxin-antitoxin system toxin component, PIN family	ssl8028 // sll8027	ssl8028 // sll8027
slr1699	slr1699	712931	713779	DUF1350 family protein	slr1699	slr1699
sll7034	sll7034	31037	31369	DUF433 domain-containing protein	sll7034 // sll7033	sll7034 // sll7033
slr1753	slr1753	524346	529595	CHAT domain-containing protein	slr1753	slr1753
slr0575	slr0575	2819323	2819877	DUF2854 domain-containing protein	slr0575	slr0575
sll0529	sll0529	3257692	3259887	phosphoketolase	sll0529	sll0529
sll0528	sll0528	3260137	3261276	site-2 protease family protein	sll0528	sll0528
queG	sll1348	1093626	1094516	tRNA epoxyqueuosine(34) reductase QueG	queG // sll1349 // sll1350	sll1348 // sll1349 // sll1350
slr0937	slr0937	1999477	2000730	hypothetical protein	slr0937	slr0937
slr1056	slr1056	512615	514633	ATP-dependent endonuclease	slr1056	slr1056
sll1685	sll1685	230658	231839	CemA-like protein	sll1685	sll1685
slr1062	slr1062	365274	365621	type II toxin-antitoxin system PemK/MazF family toxin	slr1062 // SGL_RS03610	slr1062 // SGL_RS03610
sll0617	sll0617	2645271	2646074	PspA/IM30 family protein	sll0617	sll0617
slr1232	slr1232	1039196	1039732	SH3 domain-containing protein	slr1232	slr1232
rnc	slr1646	2071379	2072074	ribonuclease III	fetB // rnc // psb27	slr1647 // slr1646 // slr1645
pap	slr1363	1105666	1107168	polyphosphate:AMP phosphotransferase	pap	slr1363
pyk	sll1275	1102283	1104058	pyruvate kinase	pyk	sll1275
topA	slr2058	1414126	1416822	type I DNA topoisomerase	slr2060 // slr2059 // topA	slr2060 // slr2059 // slr2058
hemN	sll1876	1802742	1804142	oxygen-independent coproporphyrinogen III oxidase	hemN	sll1876
sll0503	sll0503	3207272	3208696	DUF697 domain-containing protein	argS // sll0503	sll0502 // sll0503
sll1797	sll1797	843613	844221	DUF98 domain-containing protein	sll1797	sll1797
slr1693	slr1693	1987100	1988242	response regulator	slr1693	slr1693
slr1289	slr1289	283060	284487	NADP-dependent isocitrate dehydrogenase	slr1290 // slr1289	slr1290 // slr1289
argH	slr1133	783379	784764	argininosuccinate lyase	slr1134 // argH	slr1134 // slr1133
slr1704	slr1704	728660	729484	hypothetical protein	slr1704	slr1704
SGL_RS19365	SGL_RS19365	71972	72238	hypothetical protein	SGL_RS19365	SGL_RS19365
sll0141	sll0141	2201147	2202550	efflux RND transporter periplasmic adaptor subunit	sll0141	sll0141
ssl0707	ssl0707	2152291	2152629	P-II family nitrogen regulator	ssl0707	ssl0707
ssl3364	ssl3364	1242765	1242989	hypothetical protein	ssl3364	ssl3364
purM	slr0838	2847323	2848348	phosphoribosylformylglycinamidine cyclo-ligase	purM	slr0838
slr0058	slr0058	2582546	2582869	phasin family protein	slr0058	slr0058
sll1590	sll1590	1491634	1492686	HAMP domain-containing histidine kinase	sll1590	sll1590
sll0062	sll0062	2581944	2582393	hypothetical protein	sll0062	sll0062
slr1579	slr1579	3386777	3388465	DUF3352 domain-containing protein	slr1579	slr1579
ssr5092	ssr5092	90973	91218	hypothetical protein	ssr5092	ssr5092
sll1724	sll1724	949397	950536	glycosyltransferase family 4 protein	sll1722 // sll1723 // sll1724	sll1722 // sll1723 // sll1724
egtD	slr0865	1362259	1363272	L-histidine N(alpha)-methyltransferase	egtD	slr0865
slr0184	slr0184	2335706	2336326	hypothetical protein	slr0184	slr0184
sll0142	sll0142	2197732	2200959	MMPL family transporter	sll0142	sll0142
slr1251	slr1251	1392972	1393487	peptidylprolyl isomerase	slr1251	slr1251
psaM	smr0005	467201	467296	photosystem I reaction center subunit XII	psaM	smr0005
sll1488	sll1488	3379102	3379767	M23 family metallopeptidase	sll1488	sll1488
slr2131	slr2131	1644905	1648090	efflux RND transporter permease subunit	slr2131	slr2131
slr0914	slr0914	2788450	2790246	hypothetical protein	slr0914 // slr0913	slr0914 // slr0913
slr0565	slr0565	2806082	2807059	membrane protein	slr0565	slr0565
psaI	smr0004	3458023	3458145	photosystem I reaction center subunit VIII	psaI	smr0004
slr1148	slr1148	813028	813594	DUF4269 domain-containing protein	slr1148	slr1148
sll1247	sll1247	1747520	1748893	hypothetical protein	sll1247	sll1247
slr1484	slr1484	33891	35489	TonB family protein	slr1484	slr1484
ST6803t17	ST6803t17	1704238	1704308	tRNA-Gly	ST6803t17	ST6803t17
SGL_RS18470	SGL_RS18470	30281	30574	HNH endonuclease	SGL_RS18470	SGL_RS18470
SGL_RS19205	SGL_RS19205	1682399	1682497	Uma2 family endonuclease	SGL_RS19205	SGL_RS19205
SGL_RS18475	SGL_RS18475	34736	35074	helix-turn-helix transcriptional regulator	sll5036 // SGL_RS18475	sll5036 // SGL_RS18475
ssl5039	ssl5039	38437	38730	hypothetical protein	ssl5039	ssl5039
slr1963	slr1963	1767270	1768223	orange carotenoid-binding protein	slr1963	slr1963
ssr3570	ssr3570	1620037	1620222	hypothetical protein	ssr3570	ssr3570
slr1731	slr1731	1498110	1499222	sensor histidine kinase KdpD	slr1731	slr1731
ftsZ	sll1633	1013045	1014337	cell division protein FtsZ	ftsZ	sll1633
SGL_RS18850	SGL_RS18850	1616904	1617466	IS630 family transposase	SGL_RS18850	SGL_RS18850
ssr2201	ssr2201	1660069	1660287	hypothetical protein	slr1327 // ssr2201	slr1327 // ssr2201
slr1604	slr1604	471080	472930	ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein	slr1604	slr1604
rsmG	slr0072	2868767	2869561	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG // slr0848	slr0072 // slr0848
sll0312	sll0312	2455755	2456768	ABC transporter permease	sll0312	sll0312
proC	slr0661	3338682	3339485	pyrroline-5-carboxylate reductase	proC	slr0661
thrB	sll1760	1235136	1236056	homoserine kinase	thrB // sll1761	sll1760 // sll1761
rnz	slr0050	2564465	2565445	ribonuclease Z	rnz	slr0050
sll0513	sll0513	3191661	3192476	phytoene/squalene synthase family protein	sll0513	sll0513
slr0895	slr0895	2763170	2763733	TetR/AcrR family transcriptional regulator	slr0895	slr0895
slr1183	slr1183	3525482	3526066	class I SAM-dependent methyltransferase	slr1184 // slr1183 // slr1182	slr1184 // slr1183 // slr1182
ssr2754	ssr2754	2074694	2074957	type II toxin-antitoxin system Phd/YefM family antitoxin	SGL_RS11670 // ssr2754	SGL_RS11670 // ssr2754
gshB	slr1238	1051159	1052121	glutathione synthetase	gshB	slr1238
sll6017	sll6017	20559	21329	Rpn family recombination-promoting nuclease/putative transposase	sll6017	sll6017
slr0108	slr0108	2984985	2986241	AsnC family protein	slr0109 // slr0108 // ST6803t36	slr0109 // slr0108 // ST6803t36
sll0294	sll0294	2297368	2298570	DNA double-strand break repair nuclease NurA	sll0293 // sll0294	sll0293 // sll0294
ruvB	sll0613	2651866	2652951	Holliday junction branch migration DNA helicase RuvB	ruvB // sll0614	sll0613 // sll0614
slr1614	slr1614	359668	359973	DUF2442 domain-containing protein	slr1614 // SGL_RS18665	slr1614 // SGL_RS18665
sll0350	sll0350	2347500	2349911	DUF3769 domain-containing protein	sll0350	sll0350
slr1855	slr1855	1192485	1194308	AGE family epimerase/isomerase	glgX // slr1856 // slr1855 // slr1854	slr1857 // slr1856 // slr1855 // slr1854
sll1641	sll1641	543468	544871	glutamate decarboxylase	sll1641	sll1641
slr0008	slr0008	2476853	2478136	S41 family peptidase	slr0008	slr0008
slr0362	slr0362	2346573	2347127	YqeG family HAD IIIA-type phosphatase	slr0362 // slr0361 // slr0360	slr0362 // slr0361 // slr0360
ssl7053	ssl7053	44777	45019	hypothetical protein	ssl7053	ssl7053
purT	slr0861	1352256	1353431	phosphoribosylglycinamide formyltransferase 2	purT	slr0861
ssl0242	ssl0242	2209703	2209939	DUF3134 domain-containing protein	ssl0242 // mtnP	ssl0242 // sll0135
dnaA	sll0848	1350236	1351579	chromosomal replication initiator protein DnaA	dnaA	sll0848
sll1270	sll1270	1114429	1116021	ABC transporter permease subunit	sll1270	sll1270
moaC	slr0902	2773454	2774497	cyclic pyranopterin monophosphate synthase MoaC	slr0903 // moaD // moaC // moaA // slr0900 // cynS	slr0903 // ssr1527 // slr0902 // slr0901 // slr0900 // slr0899
sll1997	sll1997	1624643	1625095	IS4-like element IS4Sa family transposase	sll1997	sll1997
hemA	slr1808	1284660	1285943	glutamyl-tRNA reductase	hemA	slr1808
slr0779	slr0779	2412178	2412798	DUF4126 domain-containing protein	slr0779	slr0779
pdxA	sll0660	3117042	3118091	4-hydroxythreonine-4-phosphate dehydrogenase PdxA	pdxA	sll0660
slr1302	slr1302	305595	306824	CO2 hydration protein	egtB // slr1302	slr1303 // slr1302
slr1503	slr1503	1582206	1583198	aldo/keto reductase	slr1503	slr1503
slr1186	slr1186	3527642	3528088	DUF2214 family protein	slr1186	slr1186
slr0784	slr0784	2424368	2425390	AI-2E family transporter	slr0341 // slr0784 // tpiA	slr0341 // slr0784 // slr0783
sll1169	sll1169	1879983	1880699	Crp/Fnr family transcriptional regulator	sll1169	sll1169
slr0374	slr0374	2375539	2377044	AAA family ATPase	slr0374	slr0374
ssl2920	ssl2920	474789	475007	hypothetical protein	ssl2920 // SGL_RS04135	ssl2920 // SGL_RS04135
slr0232	slr0232	2536824	2537480	DedA family protein	trxA // slr0232	slr0233 // slr0232
rpsP	ssr0482	2127879	2128127	30S ribosomal protein S16	slr0287 // rpsP	slr0287 // ssr0482
sll1477	sll1477	3395763	3398261	CPBP family intramembrane metalloprotease	sll1477	sll1477
SGL_RS18905	SGL_RS18905	1901385	1902232	IS630 family transposase	SGL_RS18905	SGL_RS18905
ffh	slr1531	1899700	1901148	signal recognition particle protein	ffh	slr1531
rpoC1	slr1265	1854102	1855982	DNA-directed RNA polymerase subunit gamma	rpoC1	slr1265
sll1491	sll1491	3373719	3374765	WD40 repeat domain-containing protein	sll1491	sll1491
ssl5025	ssl5025	27859	28053	DUF433 domain-containing protein	ssl5025	ssl5025
SGL_RS19445	SGL_RS19445	1213769	1213927	hypothetical protein	SGL_RS19445	SGL_RS19445
slr1534	slr1534	1909190	1910095	LD-carboxypeptidase	slr1534 // slr1533	slr1534 // slr1533
sll1905	sll1905	1441002	1444046	response regulator	sll1905	sll1905
moeB	sll1536	2040280	2041458	molybdopterin-synthase adenylyltransferase MoeB	moeB	sll1536
SGL_RS07515	SGL_RS07515	1213518	1213796	hypothetical protein	SGL_RS07515	SGL_RS07515
ssr6083	ssr6083	78981	79160	hypothetical protein	ssr6083	ssr6083
slr6081	slr6081	77766	78551	hypothetical protein	slr6081	slr6081
sll1671	sll1671	255823	256305	GNAT family N-acetyltransferase	sll1671	sll1671
sll6055	sll6055	53782	54240	hypothetical protein	sll6055 // sll6054 // sll6053	sll6055 // sll6054 // sll6053
sll0419	sll0419	2096076	2096540	hypothetical protein	sll0419	sll0419
bfr	sll1341	3282442	3282912	bacterioferritin	bfr	sll1341
slr1719	slr1719	1471414	1472019	nitroreductase family protein	slr1719	slr1719
ssl0438	ssl0438	1535654	1535923	50S ribosomal protein L7/L12	ssl0438	ssl0438
slr5073	slr5073	72425	73159	hypothetical protein	slr5073	slr5073
slr0817	slr0817	1704375	1705799	isochorismate synthase	slr0817	slr0817
sll8002	sll8002	2983	3621	DUF4433 domain-containing protein	sll8004 // ssl8003 // sll8002 // sll8001	sll8004 // ssl8003 // sll8002 // sll8001
sll7078	sll7078	73483	74928	TIGR03985 family CRISPR-associated protein	sll7078 // sll7077	sll7078 // sll7077
sll1293	sll1293	690399	690866	hypothetical protein	sll1292 // sll1293	sll1292 // sll1293
ssl1255	ssl1255	3121684	3121953	UPF0175 family protein	mraY // ssl1255 // sll0658 // sll0659	sll0657 // ssl1255 // sll0658 // sll0659
sll1181	sll1181	1848799	1850550	HlyD family efflux transporter periplasmic adaptor subunit	sll1181	sll1181
sll1142	sll1142	1024825	1025346	bifunctional nuclease family protein	sll1142	sll1142
sixA	sll0400	2561499	2561993	phosphohistidine phosphatase SixA	sixA	sll0400
thrC	sll1172	1873698	1874846	threonine synthase	thrC	sll1172
sll1691	sll1691	1300159	1300611	DUF4351 domain-containing protein	sll1691 // sll1692	sll1691 // sll1692
sll1560	sll1560	1970952	1971968	IS4-like element IS4Sa family transposase	sll1560	sll1560
frp	slr1964	1768366	1768695	fluorescence recovery protein	frp	slr1964
slr0270	slr0270	1522990	1523310	DUF2605 domain-containing protein	slr0270	slr0270
sll1921	sll1921	763317	764072	hypothetical protein	sll1921	sll1921
uvrA	slr1844	962888	965800	excinuclease ABC subunit UvrA	uvrA	slr1844
sll1204	sll1204	21838	23121	MFS transporter	sll1202 // sll1203 // sll1204	sll1202 // sll1203 // sll1204
clpS	ssr2723	2032604	2032891	ATP-dependent Clp protease adapter ClpS	clpS	ssr2723
sll0872	sll0872	1142501	1142893	hypothetical protein	sll0872	sll0872
slr1334	slr1334	1680662	1682134	phosphoglucosamine mutase	slr1334	slr1334
ssr1175	ssr1175	3096048	3096329	IS630 family transposase	ssr1175	ssr1175
ssl2153	ssl2153	1922791	1923141	RpiB/LacA/LacB family sugar-phosphate isomerase	SGL_RS18910 // ssl2153	SGL_RS18910 // ssl2153
slr0231	slr0231	2534997	2535455	DNA-3-methyladenine glycosylase 2 family protein	slr0231	slr0231
cas7d	slr7012	11524	12513	type I-D CRISPR-associated protein Cas7/Csc2	cas7d	slr7012
sll0317	sll0317	2443461	2443925	IS4-like element IS4Sa family transposase	sll0317	sll0317
slr1780	slr1780	238344	238745	DUF2488 family protein	slr1780 // pdxJ	slr1780 // slr1779
slr0630	slr0630	2646623	2647282	MBL fold metallo-hydrolase	slr0630	slr0630
SGL_RS19335	SGL_RS19335	612924	613082	hypothetical protein	slr1909 // SGL_RS19335	slr1909 // SGL_RS19335
minC	sll0288	3008508	3009251	septum site-determining protein MinC	minC // minD // minE	sll0288 // sll0289 // ssl0546
slr8044	slr8044	39491	40969	hypothetical protein	slr8044	slr8044
SGL_RS17030	SGL_RS17030	3274013	3274231	hypothetical protein	SGL_RS17030 // slr1421 // SGL_RS17020	SGL_RS17030 // slr1421 // SGL_RS17020
glgC	slr1176	3516569	3517858	glucose-1-phosphate adenylyltransferase	slr1177 // glgC	slr1177 // slr1176
sll1738	sll1738	930148	930843	hypothetical protein	sll1738	sll1738
ssl2823	ssl2823	987740	987946	twin-arginine translocase TatA/TatE family subunit	ssl2823 // sll1466	ssl2823 // sll1466
hemL	sll0017	2471954	2473255	glutamate-1-semialdehyde 2,1-aminomutase	hemL	sll0017
SGL_RS18830	SGL_RS18830	1553929	1554776	IS630 family transposase	SGL_RS18830 // sll1985	SGL_RS18830 // sll1985
slr1143	slr1143	802207	803238	diguanylate cyclase	slr1143	slr1143
slr0743a	slr0743a	133923	134177	YlxR family protein	slr0743a	slr0743a
grxD	slr1846	554727	555050	Grx4 family monothiol glutaredoxin	grxD	slr1846
ilvC	sll1363	3317701	3318747	ketol-acid reductoisomerase	ilvC	sll1363
sll1355	sll1355	1076474	1077019	Uma2 family endonuclease	sll1355	sll1355
sll1515	sll1515	458408	458857	DUF4278 domain-containing protein	sll1515	sll1515
SGL_RS02210	SGL_RS02210	77980	78246	DUF2442 domain-containing protein	purL // SGL_RS02215 // SGL_RS02210	sll1056 // SGL_RS02215 // SGL_RS02210
sll0281	sll0281	3029483	3030655	DUF1822 family protein	sll0281 // sll0282	sll0281 // sll0282
slr1184	slr1184	3526097	3526591	rhodanese-like domain-containing protein	slr1184 // slr1183 // slr1182	slr1184 // slr1183 // slr1182
lipA	sll0868	1150122	1151015	lipoyl synthase	lipA	sll0868
SGL_RS18790	SGL_RS18790	1385754	1386484	IS1 family transposase	SGL_RS18790	SGL_RS18790
slr0120	slr0120	3002066	3002797	TrmJ/YjtD family RNA methyltransferase	slr0120	slr0120
sll1575	sll1575	730108	731358	serine/threonine protein kinase	sll1574 // sll1575	sll1574 // sll1575
sll1068	sll1068	821993	822424	hypothetical protein	ssl3451 // sll1068	ssl3451 // sll1068
acpP	ssl2084	821550	821783	acyl carrier protein	acpP	ssl2084
slr0929	slr0929	3230963	3231550	ParA family protein	ssr1558 // slr0930 // slr0929	ssr1558 // slr0930 // slr0929
sll0782	sll0782	3073629	3074738	GAF domain-containing protein	sll0782	sll0782
sds	slr0611	3573271	772	solanesyl diphosphate synthase	sds	slr0611
sll0590	sll0590	2952561	2954255	mechanosensitive ion channel family protein	sll0590	sll0590
slr0788	slr0788	3045877	3047265	nicotinate phosphoribosyltransferase	slr0788 // slr0787	slr0788 // slr0787
SGL_RS19305	SGL_RS19305	100364	100648	hypothetical protein	sll5109 // SGL_RS18520 // SGL_RS19305	sll5109 // SGL_RS18520 // SGL_RS19305
ssr2802	ssr2802	1961439	1961600	ABC transporter	SGL_RS18915 // ssr2803 // ssr2802	SGL_RS18915 // ssr2803 // ssr2802
ssr6026	ssr6026	25216	25473	hypothetical protein	ssr6026	ssr6026
slr1215	slr1215	902387	903055	hypothetical protein	slr1215	slr1215
slr1875	slr1875	1225928	1226566	exopolysaccharide biosynthesis protein	slr1875	slr1875
slr1195	slr1195	875515	875979	DUF3531 family protein	dprA // slr1196 // slr1195	slr1197 // slr1196 // slr1195
rpsR	ssr1399	2831400	2831615	30S ribosomal protein S18	rpsR	ssr1399
slr1214	slr1214	901197	902315	response regulator	slr1214	slr1214
slr1234	slr1234	1042609	1042953	histidine triad nucleotide-binding protein	slr1234	slr1234
SGL_RS18960	SGL_RS18960	2221648	2222199	type II secretion system protein	SGL_RS18960 // slr1928	SGL_RS18960 // slr1928
slr1261	slr1261	1405436	1405975	DUF2892 domain-containing protein	slr1262 // slr1261	slr1262 // slr1261
sll1891	sll1891	1776081	1776839	DUF928 domain-containing protein	sll1891	sll1891
slr0241	slr0241	142981	143826	M56 family metallopeptidase	slr0241 // slr0240	slr0241 // slr0240
sll1951	sll1951	1422426	1427651	calcium-binding protein	sll1951	sll1951
dacB	slr0646	2674736	2676196	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase	dacB // slr0645	slr0646 // slr0645
trxA	slr0623	2961120	2961443	thioredoxin	trxA	slr0623
slr1004	slr1004	1997497	1997790	hypothetical protein	slr1004	slr1004
sll1206	sll1206	17853	20408	TonB-dependent receptor	sll1206	sll1206
slr1706	slr1706	733425	734432	NAD-dependent epimerase/dehydratase family protein	slr1706	slr1706
rsgA	sll0898	3235746	3236855	small ribosomal subunit biogenesis GTPase RsgA	dnaJ // ssl1707 // rsgA	sll0897 // ssl1707 // sll0898
SGL_RS19275	SGL_RS19275	2921446	2921595	IS701 family transposase	SGL_RS19275	SGL_RS19275
SGL_RS18150	SGL_RS18150	3526780	3526974	DUF2892 domain-containing protein	petC1 // SGL_RS18150	slr1185 // SGL_RS18150
sll1189	sll1189	308114	309418	FAD-binding oxidoreductase	sll1189	sll1189
sll1225	sll1225	1673585	1674034	PIN domain-containing protein	ssl2420 // sll1225	ssl2420 // sll1225
slr1322	slr1322	1650889	1652358	TldD/PmbA family protein	slr1322	slr1322
slr0748	slr0748	3414833	3415525	hypothetical protein	slr0748	slr0748
slr0810	slr0810	1691005	1691442	DUF4351 domain-containing protein	slr0810	slr0810
sll1159	sll1159	1382603	1383259	AhpC/TSA family protein	sll1159 // sll1160	sll1159 // sll1160
sll1673	sll1673	251758	253116	diguanylate cyclase	sll1672 // sll1673	sll1672 // sll1673
sll1960	sll1960	1409730	1410152	hypothetical protein	hisC // hisN // sll1960	sll1958 // sll1959 // sll1960
ssr2009	ssr2009	878937	879209	DUF2442 domain-containing protein	ssr2009	ssr2009
hpnH	slr1507	1592984	1594000	adenosyl-hopene transferase HpnH	hpnH	slr1507
SGL_RS19250	SGL_RS19250	2489484	2489780	hypothetical protein	SGL_RS19250	SGL_RS19250
sll0247	sll0247	1517576	1518604	chlorophyll a/b binding light-harvesting protein	sll0247	sll0247
slr1055	slr1055	508515	512510	magnesium chelatase subunit H	slr1055	slr1055
petB	slr0342	2428010	2428678	cytochrome b6	petB	slr0342
slr2013	slr2013	753427	754734	DUF58 domain-containing protein	slr2013	slr2013
slr0269	slr0269	1522300	1522899	hypothetical protein	slr0269	slr0269
slr1813	slr1813	1291631	1292092	DUF29 domain-containing protein	slr1813	slr1813
slr0157	slr0157	2197132	2197620	hypothetical protein	slr0157 // clpB	slr0157 // slr0156
slr0842	slr0842	2854916	2856130	EAL domain-containing protein	slr0842	slr0842
slr1177	slr1177	3517887	3518735	TIGR03943 family protein	slr1177 // glgC	slr1177 // slr1176
slr0143	slr0143	2173197	2176772	Uncharacterized WD repeat-containing protein slr0143	slr0143	slr0143
SGL_RS09610	SGL_RS09610	1648164	1648392	hypothetical protein	SGL_RS09615 // SGL_RS09610	SGL_RS09615 // SGL_RS09610
chlP	sll1091	1934307	1935530	geranylgeranyl reductase	chlP	sll1091
hoxF	sll1221	1676366	1677967	NAD-reducing hydrogenase &alpha; subunit	hoxE // hoxF // sll1222 // hoxU	sll1220 // sll1221 // sll1222 // sll1223
slr1809	slr1809	1286105	1286902	hypothetical protein	slr1809	slr1809
sll0449	sll0449	3483472	3484590	hypothetical protein	sll0447 // sll0448 // sll0449	sll0447 // sll0448 // sll0449
gltS	slr1145	809450	810658	sodium/glutamate symporter	gltS	slr1145
sll2010	sll2010	1256905	1258263	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	sll2010	sll2010
sll0266	sll0266	2116083	2117321	hypothetical protein	sll0264 // sll0265 // sll0266	sll0264 // sll0265 // sll0266
sll1092	sll1092	1933468	1933854	type II toxin-antitoxin system VapC family toxin	ssl2138 // sll1092	ssl2138 // sll1092
sll5032	sll5032	32865	33350	DUF4079 domain-containing protein	sll5032 // sll5030	sll5032 // sll5030
slr1489	slr1489	38644	39636	helix-turn-helix transcriptional regulator	slr1489	slr1489
SGL_RS19450	SGL_RS19450	1268030	1268206	hypothetical protein	SGL_RS19450	SGL_RS19450
SGL_RS19520	SGL_RS19520	3462493	3462609	DUF190 domain-containing protein	SGL_RS19520	SGL_RS19520
sll1062	sll1062	70016	70393	hypothetical protein	ssl2069 // sll1060 // sll1061 // sll1062	ssl2069 // sll1060 // sll1061 // sll1062
slr1991	slr1991	1435645	1436658	adenylate/guanylate cyclase domain-containing protein	slr1992 // slr1991 // slr1990	slr1992 // slr1991 // slr1990
SGL_RS08825	SGL_RS08825	1483391	1484044	IS5 family transposase	SGL_RS08825	SGL_RS08825
ssr2315	ssr2315	679295	679510	hypothetical protein	ssr2315	ssr2315
glpX	slr2094	1560387	1561424	class II fructose-bisphosphatase	glpX	slr2094
sll0330	sll0330	2383949	2384728	SDR family NAD(P)-dependent oxidoreductase	sll0330	sll0330
ssr2060	ssr2060	1050490	1050729	hypothetical protein	ssr2060	ssr2060
SGL_RS05610	SGL_RS05610	806452	806688	hypothetical protein	leuS // SGL_RS05610	sll1074 // SGL_RS05610
sll0737	sll0737	3136019	3138604	hypothetical protein	sll0737 // modA // modB // sll0740	sll0737 // sll0738 // sll0739 // sll0740
slr0812	slr0812	1697993	1698766	pantothenate kinase	slr0812	slr0812
slr0692	slr0692	442164	443933	AAA family ATPase	slr0692	slr0692
sll0354	sll0354	2156497	2156961	DUF4281 domain-containing protein	sll0354	sll0354
slr0023	slr0023	3142957	3143571	hypothetical protein	slr0023	slr0023
grrA	sll1764	1231770	1232204	rSAM-associated Gly-rich repeat protein	grrA // grrA	sll1763 // sll1764
sll1052	sll1052	87536	87910	sulfite exporter TauE/SafE family protein	sll1052	sll1052
sll0703	sll0703	118333	119532	NAD(P)/FAD-dependent oxidoreductase	sll0702 // sll0703	sll0702 // sll0703
sll8020	sll8020	17687	18409	Crp/Fnr family transcriptional regulator	sll8020	sll8020
sll0414	sll0414	2541864	2542724	pentapeptide repeat-containing protein	sll0414	sll0414
crtH	sll0033	3162738	3164243	carotene isomerase	crtH	sll0033
slr2100	slr2100	1568317	1569423	two-component system response regulator	slr2100	slr2100
sll0521	sll0521	3267695	3268291	NADH-quinone oxidoreductase subunit J	ndhI // sll0521 // nuoK	sll0520 // sll0521 // sll0522
sll1612	sll1612	1460815	1462101	bifunctional folylpolyglutamate synthase/dihydrofolate synthase	sll1611 // sll1612	sll1611 // sll1612
icfA	slr1347	1742545	1743369	carbonic anhydrase	icfA	slr1347
slr7100	slr7100	97173	98522	hypothetical protein	slr7101 // slr7100	slr7101 // slr7100
ssl1707	ssl1707	3236874	3237128	sulfurtransferase TusA family protein	dnaJ // ssl1707 // rsgA	sll0897 // ssl1707 // sll0898
sll0335	sll0335	2373343	2374788	circularly permuted type 2 ATP-grasp protein	sll0335	sll0335
sll1530	sll1530	2053319	2054479	FkbM family methyltransferase	sll1527 // sll1528 // sll1530 // sll1531	sll1527 // sll1528 // sll1530 // sll1531
efp	slr0434	2549388	2549951	elongation factor P	efp	slr0434
slr0013	slr0013	2481361	2481888	DUF4330 domain-containing protein	slr0013	slr0013
sll0689	sll0689	2632124	2633509	cation:proton antiporter	sll0689	sll0689
ssl1972	ssl1972	390353	390634	hypothetical protein	ssl1972 // sll1025	ssl1972 // sll1025
sll0227	sll0227	148943	149683	peptidyl-prolyl cis-trans isomerase	sll0227 // speB	sll0227 // sll0228
slr1122	slr1122	80938	81690	hypothetical protein	slr1122	slr1122
slr0147	slr0147	2178627	2179505	hypothetical protein	slr0148 // slr0147	slr0148 // slr0147
sll0470	sll0470	2937748	2938308	DUF2808 domain-containing protein	sll0470	sll0470
sll0649	sll0649	422772	423509	response regulator transcription factor	sll0648 // sll0649	sll0648 // sll0649
fcl	sll1213	4451	5389	GDP-L-fucose synthase	gmd // fcl	sll1212 // sll1213
sll1830	sll1830	626349	627425	hypothetical protein	sll1830	sll1830
mtnP	sll0135	2208778	2209758	S-methyl-5'-thioadenosine phosphorylase	ssl0242 // mtnP	ssl0242 // sll0135
slr1275	slr1275	1866843	1867697	PilN domain-containing protein	slr1276 // slr1275	slr1276 // slr1275
psbV	sll0258	2131616	2132098	cytochrome c-550	psbV	sll0258
sll1263	sll1263	1719644	1720576	cation transporter	sll1263	sll1263
ssr3409	ssr3409	751381	751674	hypothetical protein	slr2012 // slr2011 // ssr3410 // ssr3409 // slr2010 // slr2009	slr2012 // slr2011 // ssr3410 // ssr3409 // slr2010 // slr2009
slr1772	slr1772	223673	224806	linear amide C-N hydrolase	slr1772	slr1772
slr0144	slr0144	2177115	2177903	hypothetical protein	slr0145 // slr0144	slr0145 // slr0144
sll1544	sll1544	3473513	3474199	response regulator transcription factor	sll1544	sll1544
slr1537	slr1537	975779	976648	glycosyltransferase family 2 protein	slr1537	slr1537
slr1796	slr1796	265995	266600	thioredoxin family protein	slr1796	slr1796
sll0749	sll0749	2422833	2423432	hypothetical protein	sll0749	sll0749
sbcC	slr1048	498076	501096	exonuclease subunit SbcC	sbcC // SGL_RS19430	slr1048 // SGL_RS19430
argB	slr1898	848074	848967	acetylglutamate kinase	argB	slr1898
slr1556	slr1556	3359578	3360579	2-hydroxyacid dehydrogenase	slr1556	slr1556
slr0495	slr0495	2628002	2628742	4'-phosphopantetheinyl transferase superfamily protein	slr0496 // slr0495	slr0496 // slr0495
SGL_RS09525	SGL_RS09525	1630995	1631240	hypothetical protein	slr2119 // slr2118 // SGL_RS09525 // slr2117 // slr2116 // slr2115 // slr2114 // SGL_RS18860	slr2119 // slr2118 // SGL_RS09525 // slr2117 // slr2116 // slr2115 // slr2114 // SGL_RS18860
gltB	sll1499	3354192	3358862	glutamate synthase large subunit	gltB	sll1499
