# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "8" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "ERX3440931_cds.txt" "ERX3440931.bam" 
Geneid	Chr	Start	End	Strand	Length	ERX3440931.bam
BSU_21140	AL009126.3	2235694	2236230	+	537	2
BSU_21150	AL009126.3	2236269	2237285	+	1017	14
BSU_21160	AL009126.3	2237321	2237791	+	471	8
BSU_21170	AL009126.3	2237806	2238201	+	396	3
BSU_21180	AL009126.3	2238198	2238452	+	255	4
BSU_21190	AL009126.3	2238436	2239086	+	651	9
BSU_21200	AL009126.3	2239083	2239589	+	507	43
BSU_21210	AL009126.3	2239586	2240296	+	711	23
BSU_21220	AL009126.3	2240339	2241136	+	798	3
BSU_21229	AL009126.3	2241154	2241765	+	612	2
BSU_21230	AL009126.3	2241765	2241992	+	228	1
BSU_21240	AL009126.3	2242056	2242412	+	357	1
BSU_21250	AL009126.3	2242414	2243631	+	1218	11
BSU_21260	AL009126.3	2243642	2243992	+	351	1
BSU_21270	AL009126.3	2243989	2244180	+	192	1
BSU_21280	AL009126.3	2244230	2244730	+	501	2
BSU_21290	AL009126.3	2244714	2245133	+	420	3
BSU_21300	AL009126.3	2245147	2246148	+	1002	8
BSU_21310	AL009126.3	2246151	2246480	-	330	479
BSU_21320	AL009126.3	2246656	2247342	-	687	51
BSU_21329	AL009126.3	2247367	2247543	-	177	3
BSU_21330	AL009126.3	2247889	2248335	+	447	56
BSU_21340	AL009126.3	2248417	2249100	+	684	156
BSU_21350	AL009126.3	2249154	2256011	+	6858	68
BSU_21360	AL009126.3	2256062	2256820	+	759	1
BSU_21370	AL009126.3	2256832	2259459	+	2628	23
BSU_21380	AL009126.3	2259475	2260296	+	822	4
BSU_21390	AL009126.3	2260333	2262267	+	1935	16
BSU_21400	AL009126.3	2262437	2263261	+	825	1
BSU_21409	AL009126.3	2263251	2263469	+	219	0
BSU_21410	AL009126.3	2263489	2264592	+	1104	0
BSU_21420	AL009126.3	2264680	2264892	+	213	1
BSU_21430	AL009126.3	2264903	2265169	+	267	0
BSU_21440	AL009126.3	2265225	2265671	-	447	0
BSU_21450	AL009126.3	2265668	2266936	-	1269	14
BSU_21460	AL009126.3	2266936	2267349	-	414	2
BSU_21470	AL009126.3	2267346	2269463	-	2118	17
BSU_21480	AL009126.3	2269521	2269691	-	171	158
BSU_21490	AL009126.3	2269988	2270305	-	318	186
BSU_21500	AL009126.3	2270407	2271657	-	1251	44
BSU_21510	AL009126.3	2271650	2271982	-	333	6
BSU_21520	AL009126.3	2272156	2272491	+	336	75
BSU_21530	AL009126.3	2272534	2272890	-	357	44
BSU_21540	AL009126.3	2272896	2273363	-	468	150
BSU_21546	AL009126.3	2273594	2273710	+	117	30
BSU_21550	AL009126.3	2273989	2274522	-	534	36
BSU_21560	AL009126.3	2274558	2275136	-	579	88
BSU_21570	AL009126.3	2275200	2275697	-	498	18
BSU_21580	AL009126.3	2275706	2277421	-	1716	67
BSU_21590	AL009126.3	2277521	2278078	-	558	74
BSU_21598	AL009126.3	2278108	2278347	+	240	1
BSU_21599	AL009126.3	2278340	2278456	+	117	1
BSU_21600	AL009126.3	2278602	2279675	-	1074	120
BSU_21610	AL009126.3	2279977	2280867	+	891	7
BSU_21620	AL009126.3	2280881	2281363	+	483	4
BSU_21630	AL009126.3	2281667	2282485	+	819	62
BSU_21638	AL009126.3	2282505	2282639	-	135	5
BSU_21639	AL009126.3	2282801	2282956	-	156	2
BSU_21640	AL009126.3	2283136	2283651	-	516	20
BSU_21650	AL009126.3	2283858	2284568	-	711	131
BSU_21660	AL009126.3	2284771	2286408	+	1638	193
BSU_21670	AL009126.3	2286448	2287053	+	606	56
BSU_21680	AL009126.3	2287097	2287528	-	432	170
BSU_21690	AL009126.3	2287529	2288062	-	534	495
BSU_21700	AL009126.3	2288194	2288619	+	426	237
BSU_21710	AL009126.3	2288669	2290006	-	1338	163
BSU_21720	AL009126.3	2290078	2290272	-	195	55
BSU_21730	AL009126.3	2290285	2290848	-	564	326
BSU_21740	AL009126.3	2290858	2291625	-	768	440
BSU_21750	AL009126.3	2291703	2292284	-	582	691
BSU_21760	AL009126.3	2292432	2292683	-	252	1331
BSU_21770	AL009126.3	2292769	2294037	-	1269	1603
BSU_21780	AL009126.3	2294286	2295281	+	996	128
BSU_21790	AL009126.3	2295302	2295943	+	642	132
BSU_21800	AL009126.3	2295982	2296602	-	621	166
BSU_21810	AL009126.3	2296603	2297109	-	507	113
BSU_21820	AL009126.3	2297106	2297900	-	795	81
BSU_21830	AL009126.3	2297984	2298517	-	534	314
BSU_21840	AL009126.3	2298535	2299146	-	612	794
BSU_21850	AL009126.3	2299406	2300179	-	774	53
BSU_21860	AL009126.3	2300221	2300655	-	435	229
BSU_21870	AL009126.3	2300762	2302438	-	1677	1093
BSU_21880	AL009126.3	2302727	2303860	-	1134	242
BSU_21890	AL009126.3	2303920	2304537	-	618	75
BSU_21900	AL009126.3	2304553	2305035	-	483	50
BSU_21910	AL009126.3	2305378	2306283	+	906	382
BSU_21920	AL009126.3	2306514	2307662	+	1149	896
BSU_21925	AL009126.3	2307743	2307889	+	147	139
BSU_21930	AL009126.3	2307905	2308105	+	201	1971
BSU_21940	AL009126.3	2308157	2308339	-	183	56
BSU_21950	AL009126.3	2308495	2308764	+	270	432
BSU_21960	AL009126.3	2308792	2308974	-	183	93
BSU_21970	AL009126.3	2308967	2309647	-	681	1270
BSU_21980	AL009126.3	2309730	2310419	+	690	56
BSU_21990	AL009126.3	2310419	2310817	+	399	38
BSU_22000	AL009126.3	2310859	2310987	+	129	39
BSU_22010	AL009126.3	2310995	2311885	-	891	223
BSU_22019	AL009126.3	2311986	2312132	-	147	355
BSU_22020	AL009126.3	2312207	2312464	-	258	45
BSU_22030	AL009126.3	2312529	2316110	-	3582	255
BSU_22036	AL009126.3	2316286	2316375	-	90	2
BSU_22040	AL009126.3	2316446	2316952	-	507	152
BSU_22050	AL009126.3	2316956	2318053	-	1098	772
BSU_22060	AL009126.3	2318127	2319443	-	1317	1
BSU_22070	AL009126.3	2319440	2320024	-	585	8
BSU_22080	AL009126.3	2320355	2321860	-	1506	234
BSU_22090	AL009126.3	2321972	2322964	-	993	71
BSU_22100	AL009126.3	2323009	2323599	-	591	25
BSU_22110	AL009126.3	2323601	2324575	-	975	115
BSU_22120	AL009126.3	2324613	2325632	-	1020	48
BSU_22130	AL009126.3	2325854	2326681	+	828	164
BSU_22140	AL009126.3	2326683	2327447	+	765	151
BSU_22150	AL009126.3	2327488	2329413	-	1926	1913
BSU_22160	AL009126.3	2329515	2329706	-	192	527
BSU_22169	AL009126.3	2329870	2330022	+	153	3099
BSU_22170	AL009126.3	2330075	2331232	-	1158	124
BSU_22180	AL009126.3	2331779	2332075	-	297	188
BSU_22190	AL009126.3	2332153	2332782	-	630	95
BSU_22200	AL009126.3	2332784	2333011	-	228	226
BSU_22205	AL009126.3	2333095	2333223	-	129	0
BSU_22210	AL009126.3	2333324	2334565	-	1242	153
BSU_22220	AL009126.3	2334581	2336830	-	2250	46
BSU_22230	AL009126.3	2336933	2337439	-	507	152
BSU_22240	AL009126.3	2337577	2337996	+	420	22
BSU_22250	AL009126.3	2338017	2338394	-	378	85
BSU_22260	AL009126.3	2338582	2338770	+	189	72
BSU_22270	AL009126.3	2338809	2339180	-	372	401
BSU_22280	AL009126.3	2339226	2339471	-	246	177
BSU_22290	AL009126.3	2339670	2339774	+	105	23
BSU_22300	AL009126.3	2339799	2340761	-	963	217
BSU_22310	AL009126.3	2340802	2341422	+	621	454
BSU_22320	AL009126.3	2341444	2344188	+	2745	2644
BSU_22330	AL009126.3	2344264	2344758	-	495	83
BSU_22340	AL009126.3	2344755	2345414	-	660	88
BSU_22350	AL009126.3	2345433	2346131	-	699	161
BSU_22360	AL009126.3	2346224	2347516	-	1293	704
BSU_22370	AL009126.3	2347660	2348841	-	1182	321
BSU_22380	AL009126.3	2348864	2349349	-	486	487
BSU_22390	AL009126.3	2349358	2349528	-	171	35
BSU_22400	AL009126.3	2349671	2352466	-	2796	1090
BSU_22410	AL009126.3	2352592	2352975	-	384	252
BSU_22420	AL009126.3	2352977	2353837	-	861	182
BSU_22430	AL009126.3	2353839	2354672	-	834	246
BSU_22440	AL009126.3	2354918	2355895	-	978	162
BSU_22450	AL009126.3	2355880	2357073	-	1194	335
BSU_22460	AL009126.3	2357078	2358211	-	1134	363
BSU_22470	AL009126.3	2358208	2358918	-	711	252
BSU_22480	AL009126.3	2358911	2359324	-	414	38
BSU_22490	AL009126.3	2359340	2360143	-	804	255
BSU_22500	AL009126.3	2360155	2360490	-	336	48
BSU_22510	AL009126.3	2360630	2361502	+	873	63
BSU_22520	AL009126.3	2361544	2362338	-	795	421
BSU_22530	AL009126.3	2362407	2362964	-	558	25
BSU_22540	AL009126.3	2363111	2363878	-	768	3636
BSU_22550	AL009126.3	2363913	2364587	-	675	2367
BSU_22560	AL009126.3	2364589	2365092	-	504	1509
BSU_22570	AL009126.3	2365235	2365681	-	447	273
BSU_22580	AL009126.3	2365736	2366275	-	540	4365
BSU_22590	AL009126.3	2366347	2367618	-	1272	2115
BSU_22600	AL009126.3	2367954	2369240	-	1287	129
BSU_22610	AL009126.3	2369251	2370366	-	1116	128
BSU_22620	AL009126.3	2370415	2371497	-	1083	297
BSU_22630	AL009126.3	2371508	2372311	-	804	320
BSU_22640	AL009126.3	2372304	2373506	-	1203	252
BSU_22650	AL009126.3	2373487	2374134	-	648	83
BSU_22660	AL009126.3	2374139	2374888	-	750	77
BSU_22670	AL009126.3	2374881	2375897	-	1017	83
BSU_22680	AL009126.3	2375869	2377416	-	1548	191
BSU_22690	AL009126.3	2377632	2378015	-	384	88
BSU_22700	AL009126.3	2378012	2379100	-	1089	256
BSU_22710	AL009126.3	2379100	2380272	-	1173	130
BSU_22720	AL009126.3	2380347	2381117	-	771	45
BSU_22730	AL009126.3	2381354	2381803	-	450	369
BSU_22740	AL009126.3	2381919	2382965	-	1047	100
BSU_22750	AL009126.3	2382907	2383608	-	702	85
BSU_22760	AL009126.3	2383615	2384370	-	756	280
BSU_22770	AL009126.3	2384534	2384761	-	228	271
BSU_22780	AL009126.3	2384783	2385355	-	573	240
BSU_22790	AL009126.3	2385543	2385821	-	279	1197
BSU_22800	AL009126.3	2386195	2387673	-	1479	8991
BSU_22810	AL009126.3	2387854	2388588	-	735	0
BSU_22820	AL009126.3	2388610	2388813	-	204	29
BSU_22830	AL009126.3	2389151	2390188	-	1038	542
BSU_22840	AL009126.3	2390206	2391516	-	1311	853
BSU_22849	AL009126.3	2391670	2391864	-	195	146
BSU_22850	AL009126.3	2391861	2392754	-	894	1318
BSU_22860	AL009126.3	2392751	2393350	-	600	463
BSU_22869	AL009126.3	2393428	2393559	+	132	158
BSU_22870	AL009126.3	2393602	2394651	-	1050	454
BSU_22880	AL009126.3	2394664	2395812	-	1149	1324
BSU_22890	AL009126.3	2396045	2396719	-	675	622
BSU_22900	AL009126.3	2396798	2396974	-	177	156
BSU_22910	AL009126.3	2397019	2397672	-	654	128
BSU_22920	AL009126.3	2397765	2399117	-	1353	2226
BSU_22930	AL009126.3	2399152	2400069	-	918	2114
BSU_22940	AL009126.3	2400208	2400864	-	657	195
BSU_22950	AL009126.3	2400984	2401958	-	975	557
BSU_22960	AL009126.3	2402067	2403350	-	1284	497
BSU_22970	AL009126.3	2403506	2404090	-	585	560
BSU_22980	AL009126.3	2404249	2405028	-	780	193
BSU_22990	AL009126.3	2405114	2405557	-	444	133
BSU_23000	AL009126.3	2405620	2406342	-	723	657
BSU_23010	AL009126.3	2406293	2406862	-	570	213
BSU_23020	AL009126.3	2406922	2408412	-	1491	139
BSU_23030	AL009126.3	2408405	2409463	-	1059	105
BSU_23040	AL009126.3	2409729	2409977	+	249	112
BSU_23050	AL009126.3	2410017	2410589	-	573	195
BSU_23070	AL009126.3	2411086	2412663	+	1578	202
BSU_23080	AL009126.3	2412706	2413473	-	768	206
BSU_23090	AL009126.3	2413585	2414691	-	1107	683
BSU_23100	AL009126.3	2414627	2415211	-	585	180
BSU_23110	AL009126.3	2415415	2417184	-	1770	636
BSU_23120	AL009126.3	2417181	2417903	-	723	288
BSU_23130	AL009126.3	2417984	2419159	-	1176	325
BSU_23140	AL009126.3	2419179	2420807	-	1629	432
BSU_23150	AL009126.3	2420804	2421343	-	540	116
BSU_23160	AL009126.3	2421438	2422172	-	735	105
BSU_23170	AL009126.3	2422264	2422800	-	537	539
BSU_23180	AL009126.3	2422805	2423395	-	591	218
BSU_23190	AL009126.3	2423383	2424531	-	1149	1171
BSU_23200	AL009126.3	2424654	2425193	-	540	755
BSU_23210	AL009126.3	2425248	2425841	-	594	41
BSU_23220	AL009126.3	2425831	2426586	-	756	112
BSU_23230	AL009126.3	2426867	2427391	+	525	50
BSU_23240	AL009126.3	2427405	2427779	-	375	1686
BSU_23250	AL009126.3	2427892	2428356	-	465	185
BSU_23260	AL009126.3	2428389	2429585	-	1197	497
BSU_23270	AL009126.3	2429600	2430247	-	648	377
BSU_23280	AL009126.3	2430258	2431343	-	1086	295
BSU_23300	AL009126.3	2431737	2432081	-	345	144
BSU_23310	AL009126.3	2432316	2432870	-	555	306
BSU_23320	AL009126.3	2433137	2433373	+	237	25
BSU_23328	AL009126.3	2433316	2433522	-	207	112
BSU_23329	AL009126.3	2433631	2433885	-	255	25
BSU_23330	AL009126.3	2433878	2434165	-	288	33
BSU_23340	AL009126.3	2434143	2434346	-	204	42
BSU_23349	AL009126.3	2434755	2434871	+	117	2
BSU_23350	AL009126.3	2435012	2435224	+	213	34
BSU_23360	AL009126.3	2435360	2435791	-	432	115
BSU_23370	AL009126.3	2436045	2436917	+	873	279
BSU_23380	AL009126.3	2436947	2438266	-	1320	509
BSU_23390	AL009126.3	2438372	2439853	-	1482	897
BSU_23401	AL009126.3	2439804	2440415	-	612	446
BSU_23402	AL009126.3	2440423	2440773	-	351	221
BSU_23410	AL009126.3	2440775	2441791	-	1017	720
BSU_23420	AL009126.3	2441804	2442256	-	453	544
BSU_23430	AL009126.3	2442269	2442694	-	426	93
BSU_23440	AL009126.3	2442684	2443304	-	621	551
BSU_23450	AL009126.3	2443429	2444196	-	768	6972
BSU_23460	AL009126.3	2444208	2444648	-	441	4716
BSU_23470	AL009126.3	2444645	2444998	-	354	5133
BSU_23480	AL009126.3	2445094	2446263	-	1170	5741
BSU_23490	AL009126.3	2446418	2447233	-	816	819
BSU_23500	AL009126.3	2447246	2448430	-	1185	1202
BSU_23510	AL009126.3	2448591	2449481	-	891	741
BSU_23519	AL009126.3	2449489	2449716	-	228	872
BSU_23520	AL009126.3	2449841	2450290	-	450	337
BSU_23530	AL009126.3	2450403	2451047	-	645	146
BSU_23540	AL009126.3	2451148	2451363	-	216	0
BSU_23550	AL009126.3	2451463	2452782	-	1320	182
BSU_23560	AL009126.3	2452800	2454206	-	1407	106
BSU_23570	AL009126.3	2454347	2455774	-	1428	205
BSU_23580	AL009126.3	2455819	2456808	-	990	114
BSU_23590	AL009126.3	2456990	2457340	+	351	43
BSU_23600	AL009126.3	2457349	2458512	-	1164	192
BSU_23610	AL009126.3	2458509	2459066	-	558	40
BSU_23616	AL009126.3	2459141	2459263	+	123	32
BSU_23620	AL009126.3	2459326	2460246	+	921	557
BSU_23630	AL009126.3	2460278	2460502	-	225	41
BSU_23640	AL009126.3	2460664	2461581	+	918	92
BSU_23650	AL009126.3	2461621	2461860	-	240	38
BSU_23660	AL009126.3	2461873	2462196	-	324	82
BSU_23670	AL009126.3	2462193	2463224	-	1032	60
BSU_23680	AL009126.3	2463217	2463561	-	345	53
BSU_23690	AL009126.3	2463571	2464041	-	471	124
BSU_23700	AL009126.3	2464227	2464565	-	339	14
BSU_23710	AL009126.3	2464562	2465800	-	1239	112
BSU_23720	AL009126.3	2465966	2466172	+	207	8
BSU_23730	AL009126.3	2466721	2467953	+	1233	154
BSU_23740	AL009126.3	2467800	2468162	+	363	24
BSU_23750	AL009126.3	2468159	2468545	-	387	40
BSU_23760	AL009126.3	2468549	2469508	-	960	147
BSU_23770	AL009126.3	2469580	2470926	-	1347	185
BSU_23780	AL009126.3	2471002	2471781	-	780	282
BSU_23790	AL009126.3	2471787	2472746	-	960	85
BSU_23800	AL009126.3	2473151	2473987	+	837	34
BSU_23810	AL009126.3	2474028	2475671	-	1644	65
BSU_23820	AL009126.3	2475843	2476859	+	1017	55
BSU_23830	AL009126.3	2476969	2477730	+	762	728
BSU_23836	AL009126.3	2477777	2477899	-	123	11
BSU_23837	AL009126.3	2477892	2477924	-	33	0
BSU_23840	AL009126.3	2478006	2478929	-	924	49
BSU_23850	AL009126.3	2479156	2480625	+	1470	496
BSU_23860	AL009126.3	2480750	2482159	-	1410	477
BSU_23870	AL009126.3	2482269	2483513	-	1245	62
BSU_23880	AL009126.3	2483586	2483873	+	288	86
BSU_23890	AL009126.3	2483904	2484731	+	828	189
BSU_23900	AL009126.3	2484911	2485639	+	729	41
BSU_23910	AL009126.3	2485680	2486795	-	1116	584
BSU_23920	AL009126.3	2486813	2488336	-	1524	861
BSU_23930	AL009126.3	2488329	2488751	-	423	84
BSU_23940	AL009126.3	2488953	2489483	-	531	220
BSU_23950	AL009126.3	2489535	2490503	-	969	167
BSU_23960	AL009126.3	2490574	2491296	-	723	3929
BSU_23970	AL009126.3	2491289	2491948	-	660	981
BSU_23980	AL009126.3	2492029	2492796	-	768	4571
BSU_23990	AL009126.3	2493064	2493501	-	438	278
BSU_24000	AL009126.3	2493662	2494555	+	894	298
BSU_24010	AL009126.3	2494656	2495825	+	1170	2443
BSU_24020	AL009126.3	2495898	2496734	+	837	137
BSU_24030	AL009126.3	2496796	2498070	-	1275	264
BSU_24040	AL009126.3	2498093	2499076	-	984	381
BSU_24050	AL009126.3	2499090	2500082	-	993	285
BSU_24060	AL009126.3	2500104	2501528	-	1425	258
BSU_24070	AL009126.3	2501549	2502640	-	1092	105
BSU_24080	AL009126.3	2502659	2503753	-	1095	85
BSU_24090	AL009126.3	2503765	2504664	-	900	80
BSU_24100	AL009126.3	2504789	2506867	-	2079	92
BSU_24110	AL009126.3	2507020	2507256	+	237	135
BSU_24120	AL009126.3	2507298	2508203	-	906	3595
BSU_24130	AL009126.3	2508221	2509639	-	1419	6010
BSU_24140	AL009126.3	2509654	2510772	-	1119	1917
BSU_24150	AL009126.3	2510806	2511945	-	1140	3138
BSU_24160	AL009126.3	2511973	2512836	-	864	1865
BSU_24170	AL009126.3	2512861	2514042	-	1182	2228
BSU_24180	AL009126.3	2514169	2514900	-	732	72
BSU_24190	AL009126.3	2514979	2515599	-	621	40
BSU_24200	AL009126.3	2515614	2515907	-	294	50
BSU_24205	AL009126.3	2516215	2516367	+	153	0
BSU_24210	AL009126.3	2516440	2517558	+	1119	151
BSU_24220	AL009126.3	2518023	2518826	-	804	1699
BSU_24230	AL009126.3	2519102	2520382	-	1281	1082
BSU_24240	AL009126.3	2520557	2522287	-	1731	435
BSU_24250	AL009126.3	2522324	2522773	-	450	131
BSU_24260	AL009126.3	2522871	2523716	-	846	280
BSU_24270	AL009126.3	2523713	2525614	-	1902	638
BSU_24280	AL009126.3	2525789	2526679	-	891	57
BSU_24290	AL009126.3	2526669	2526923	-	255	14
BSU_24300	AL009126.3	2526920	2528266	-	1347	111
BSU_24310	AL009126.3	2528404	2529255	-	852	357
BSU_24320	AL009126.3	2529267	2529662	-	396	270
BSU_24330	AL009126.3	2529926	2530333	-	408	677
BSU_24340	AL009126.3	2530354	2531706	-	1353	663
BSU_24350	AL009126.3	2531718	2532197	-	480	133
BSU_24360	AL009126.3	2532353	2533009	-	657	1387
BSU_24370	AL009126.3	2533010	2533699	-	690	722
BSU_24380	AL009126.3	2533692	2534312	-	621	651
BSU_24390	AL009126.3	2534326	2535525	-	1200	170
BSU_24400	AL009126.3	2535544	2535945	-	402	124
BSU_24410	AL009126.3	2535952	2536158	-	207	189
BSU_24420	AL009126.3	2536181	2536696	-	516	342
BSU_24430	AL009126.3	2536690	2537613	-	924	514
BSU_24440	AL009126.3	2537689	2537970	-	282	218
BSU_24450	AL009126.3	2538115	2538672	-	558	303
BSU_24460	AL009126.3	2538697	2539758	-	1062	586
BSU_24470	AL009126.3	2539755	2540201	-	447	308
BSU_24480	AL009126.3	2540288	2540824	-	537	258
BSU_24490	AL009126.3	2541051	2542007	+	957	1229
BSU_24500	AL009126.3	2542047	2542442	+	396	1354
BSU_24510	AL009126.3	2542439	2543314	-	876	831
BSU_24520	AL009126.3	2543440	2543868	-	429	115
BSU_24530	AL009126.3	2543968	2544804	-	837	106
BSU_24540	AL009126.3	2544995	2545375	+	381	62
BSU_24550	AL009126.3	2545410	2546876	-	1467	6585
BSU_24560	AL009126.3	2546869	2548215	-	1347	2331
BSU_24570	AL009126.3	2548245	2549333	-	1089	2335
BSU_24580	AL009126.3	2549775	2551448	+	1674	1089
BSU_24590	AL009126.3	2551469	2552263	+	795	524
BSU_24600	AL009126.3	2552446	2552619	+	174	131
BSU_24610	AL009126.3	2552653	2552988	+	336	1521
BSU_24620	AL009126.3	2553081	2553866	-	786	21
BSU_24630	AL009126.3	2553930	2554502	-	573	9
BSU_24640	AL009126.3	2554486	2555247	-	762	2
BSU_24650	AL009126.3	2555519	2555845	+	327	1202
BSU_24660	AL009126.3	2555887	2556066	-	180	152
BSU_24670	AL009126.3	2556137	2556511	-	375	5
BSU_24680	AL009126.3	2556512	2556895	-	384	5
BSU_24690	AL009126.3	2556921	2557268	-	348	10
BSU_24700	AL009126.3	2557252	2557683	-	432	5
BSU_24710	AL009126.3	2557673	2557969	-	297	6
BSU_24720	AL009126.3	2557983	2558954	-	972	17
BSU_24730	AL009126.3	2559007	2560077	-	1071	50
BSU_24740	AL009126.3	2560489	2561442	-	954	177
BSU_24750	AL009126.3	2561585	2562913	+	1329	16
BSU_24760	AL009126.3	2562966	2563802	-	837	67
BSU_24770	AL009126.3	2564026	2564406	-	381	298
BSU_24780	AL009126.3	2564638	2564883	+	246	550
BSU_24790	AL009126.3	2564923	2565558	-	636	83
BSU_24800	AL009126.3	2565715	2565888	+	174	789
BSU_24810	AL009126.3	2565920	2566234	-	315	299
BSU_24820	AL009126.3	2566237	2567298	-	1062	985
BSU_24830	AL009126.3	2567360	2568490	-	1131	1515
BSU_24840	AL009126.3	2568573	2570489	-	1917	1619
BSU_24850	AL009126.3	2570606	2571571	-	966	126
BSU_24860	AL009126.3	2571582	2571797	-	216	17
BSU_24870	AL009126.3	2571907	2573430	-	1524	92
BSU_24880	AL009126.3	2573520	2573693	-	174	146
BSU_24890	AL009126.3	2573760	2574323	-	564	25
BSU_24900	AL009126.3	2574408	2574557	-	150	544
BSU_24910	AL009126.3	2574641	2575720	-	1080	36
BSU_24920	AL009126.3	2575717	2576187	-	471	28
BSU_24930	AL009126.3	2576367	2576720	+	354	149
BSU_24940	AL009126.3	2576717	2577181	+	465	156
BSU_24950	AL009126.3	2577210	2577992	-	783	11
BSU_24960	AL009126.3	2578003	2578812	-	810	13
BSU_24970	AL009126.3	2578833	2579717	-	885	7
BSU_24980	AL009126.3	2579717	2580646	-	930	3
BSU_24990	AL009126.3	2580715	2581617	-	903	6
BSU_25000	AL009126.3	2581771	2583921	-	2151	390
BSU_25010	AL009126.3	2584035	2585327	-	1293	428
BSU_25020	AL009126.3	2585434	2586042	-	609	2274
BSU_25030	AL009126.3	2586221	2586703	-	483	128
BSU_25040	AL009126.3	2586813	2587580	+	768	40
BSU_25050	AL009126.3	2587996	2588424	-	429	137
BSU_25060	AL009126.3	2588701	2589000	+	300	11
BSU_25070	AL009126.3	2589123	2590256	+	1134	278
BSU_25080	AL009126.3	2590282	2590671	-	390	381
BSU_25090	AL009126.3	2590804	2591385	+	582	366
BSU_25100	AL009126.3	2591428	2591865	-	438	361
BSU_25110	AL009126.3	2592003	2592884	-	882	89
BSU_25120	AL009126.3	2593000	2593254	+	255	1137
BSU_25130	AL009126.3	2593281	2594174	-	894	320
BSU_25140	AL009126.3	2594184	2595500	-	1317	316
BSU_25150	AL009126.3	2595669	2596412	+	744	44
BSU_25160	AL009126.3	2596535	2597479	+	945	169
BSU_25170	AL009126.3	2597502	2598623	-	1122	196
BSU_25180	AL009126.3	2598616	2599266	-	651	166
BSU_25190	AL009126.3	2599523	2599885	-	363	344
BSU_25200	AL009126.3	2600214	2601329	-	1116	3381
BSU_25210	AL009126.3	2601528	2603339	-	1812	7122
BSU_25220	AL009126.3	2602979	2603275	+	297	14
BSU_25230	AL009126.3	2603373	2603867	-	495	4266
BSU_25240	AL009126.3	2604121	2604933	-	813	132
BSU_25250	AL009126.3	2604959	2605597	-	639	388
BSU_25260	AL009126.3	2605730	2607769	-	2040	158
BSU_25270	AL009126.3	2607762	2608649	-	888	63
BSU_25280	AL009126.3	2608946	2609713	-	768	1029
BSU_25289	AL009126.3	2609750	2609893	-	144	175
BSU_25290	AL009126.3	2610041	2610946	-	906	1593
BSU_25300	AL009126.3	2610927	2611337	-	411	716
BSU_25310	AL009126.3	2611456	2611827	-	372	15
BSU_25320	AL009126.3	2611808	2612281	-	474	133
BSU_25330	AL009126.3	2612282	2614417	-	2136	289
BSU_25340	AL009126.3	2614496	2615455	-	960	686
BSU_25350	AL009126.3	2615452	2616648	-	1197	621
BSU_25360	AL009126.3	2616667	2616948	-	282	998
BSU_25370	AL009126.3	2617005	2617424	-	420	2211
BSU_25380	AL009126.3	2617449	2618444	-	996	2501
BSU_25390	AL009126.3	2618466	2619779	-	1314	2006
BSU_25400	AL009126.3	2619910	2620356	-	447	2667
BSU_25410	AL009126.3	2620371	2620544	-	174	3918
BSU_25420	AL009126.3	2620717	2621640	+	924	251
BSU_25430	AL009126.3	2621677	2623032	-	1356	257
BSU_25440	AL009126.3	2623032	2623802	-	771	95
BSU_25450	AL009126.3	2623825	2624760	-	936	78
BSU_25460	AL009126.3	2624785	2625912	-	1128	107
BSU_25470	AL009126.3	2626112	2627947	-	1836	1057
BSU_25480	AL009126.3	2627971	2628534	-	564	298
BSU_25490	AL009126.3	2628606	2629637	-	1032	482
BSU_25500	AL009126.3	2629718	2630857	-	1140	152
BSU_25510	AL009126.3	2630910	2632748	-	1839	780
BSU_25520	AL009126.3	2632882	2633220	-	339	415
BSU_25530	AL009126.3	2633237	2634442	-	1206	858
BSU_25540	AL009126.3	2634505	2635611	-	1107	1012
BSU_25550	AL009126.3	2635815	2636081	+	267	209
BSU_25560	AL009126.3	2636096	2637139	-	1044	78
BSU_25565	AL009126.3	2637179	2637328	-	150	23
BSU_25569	AL009126.3	2637369	2637503	+	135	360
BSU_25570	AL009126.3	2637543	2639873	-	2331	84
BSU_25580	AL009126.3	2639877	2640446	-	570	135
BSU_25590	AL009126.3	2640513	2641130	-	618	16
BSU_25600	AL009126.3	2641214	2642035	+	822	4581
BSU_25610	AL009126.3	2642101	2642844	-	744	341
BSU_25620	AL009126.3	2642841	2643197	-	357	94
BSU_25630	AL009126.3	2643215	2643775	-	561	259
BSU_25640	AL009126.3	2643765	2644334	-	570	220
BSU_25650	AL009126.3	2644346	2644636	-	291	94
BSU_25660	AL009126.3	2644630	2645472	-	843	583
BSU_25670	AL009126.3	2645490	2646590	-	1101	656
BSU_25680	AL009126.3	2646594	2647112	-	519	145
BSU_25690	AL009126.3	2647456	2647614	+	159	25
BSU_25700	AL009126.3	2647920	2648651	-	732	56
BSU_25710	AL009126.3	2648903	2649655	-	753	107
BSU_25720	AL009126.3	2649842	2650468	+	627	10
BSU_25730	AL009126.3	2650487	2651380	-	894	275
BSU_25740	AL009126.3	2651632	2652354	+	723	104
BSU_25750	AL009126.3	2652387	2652797	-	411	157
